"","id","type","name","zone","coordinates","lon","lat","alt"
"251","1001079","dlr","Custom House",NA,".027684411363851222,51.509543816964380000,0",0.0276844113638512,51.5095438169644,0
"252","1002027","dlr","Cutty Sark",NA,"-.010858772708086980,51.481694371850814000,0",-0.010858772708087,51.4816943718508,0
"253","1002028","dlr","Cyprus",NA,".063538519717122620,51.508791930274770000,0",0.0635385197171226,51.5087919302748,0
"254","1002029","dlr","Deptford Bridge",NA,"-.021550621322944774,51.474284721273506000,0",-0.0215506213229448,51.4742847212735,0
"255","1002030","dlr","Devons Road",NA,"-.017224616322978142,51.522175080544790000,0",-0.0172246163229781,51.5221750805448,0
"256","1002033","dlr","East India",NA,"-.002748663563422358,51.509041249107980000,0",-0.00274866356342236,51.509041249108,0
"257","1000071","tube","Edgware Road Bakerloo",NA,"-.170135073011915440,51.520183893832000000,0",-0.170135073011915,51.520183893832,0
"258","1000072","tube","Edgware Road Circle",NA,"-.167666130737583900,51.519920474367346000,0",-0.167666130737584,51.5199204743673,0
"259","1002035","dlr","Elverson Road",NA,"-.017467307436164158,51.468819427590320000,0",-0.0174673074361642,51.4688194275903,0
"260","1002039","dlr","Gallions Reach",NA,".072220032947865110,51.509538091545025000,0",0.0722200329478651,51.509538091545,0
"261","1001123","dlr","Greenwich",NA,"-.014198816568398007,51.477757816350250000,0",-0.014198816568398,51.4777578163502,0
"262","1000094","tube","Gunnersbury",NA,"-.275175034795658400,51.491793104326040000,0",-0.275175034795658,51.491793104326,0
"263","1000097","tube","Hammersmith",NA,"-.224930071064953470,51.493497772006556000,0",-0.224930071064953,51.4934977720066,0
"264","1000096","tube","Hammersmith (D & P)",NA,"-.222401730524214160,51.492569079748954000,0",-0.222401730524214,51.492569079749,0
"265","1000100","tube","Harlesden",NA,"-.257502755154927540,51.536192910154740000,0",-0.257502755154928,51.5361929101547,0
"266","1000101","tube","Harrow & Wealdstone",NA,"-.335231166241641700,51.592208827964880000,0",-0.335231166241642,51.5922088279649,0
"267","1000102","tube","Harrow on the Hill",NA,"-.337015904256826800,51.579328867281140000,0",-0.337015904256827,51.5793288672811,0
"268","1000105","tube","Heathrow Terminals 1, 2, 3",NA,"-.452439130961683100,51.471219210060410000,0",-0.452439130961683,51.4712192100604,0
"269","1002046","dlr","Heron Quays",NA,"-.021744064999687465,51.503067915299190000,0",-0.0217440649996875,51.5030679152992,0
"270","1002048","dlr","Island Gardens",NA,"-.009489509781986224,51.486671636732005000,0",-0.00948950978198622,51.486671636732,0
"271","1000122","tube","Kensal Green",NA,"-.224716964703163850,51.530457666116990000,0",-0.224716964703164,51.530457666117,0
